Name,SMILES,PubChemID,CPE CLASS,IUPAC NAME,CAS,CAS (cactus),logKp,Reference,Total Molweight,cLogP,cLogS,H-Acceptors,H-Donors,Polar Surface Area,Rotatable Bonds,Aromatic Rings,sp3-Atoms,Drug status,DRUGBANK,tag1,tag2,tag3,tag4,tag5,tag6,tag7,tag8 (SCAFFOLD name),Scaffold SMILES
Benzene,C1=CC=CC=C1,241,AROM. MISC.,benzene,71-43-2,"27271-55-2,68956-52-5,26181-88-4,174973-66-1,54682-86-9,71-43-2",-0.88,"I. H. Blank and D. J. McAuliffe, ""Penetration of Benzene through Human Skin,"" J. Invest. Dennatol. 85, 522‐526 (1985)",78.1136,1.6596,-1.6159999999999999,0,0,0.0,0,1,0,,,,,,,,,,Benzene,c1ccccc1
4‐cyanophenol,C1=CC(=CC=C1C#N)O,13019,AROM. MISC.,4-hydroxybenzonitrile,767-00-0,767-00-0,-2.17,Romonchuk WJ. Mechanism of enhanced dermal permeation of 4‐cyanophenol and methyl paraben from saturated aqueous solutions containing both solutes. Skin Pharmacol Physiol. 2010;23(3):152‐163.,119.12299999999999,1.1495,-2.093,2,1,44.02,0,1,1,,,,,,,,,,Benzene,c1ccccc1
pyrogallol,C1=CC(=C(C(=C1)O)O)O,1057,AROM. MISC.,"benzene-1,2,3-triol",87-66-1,87-66-1,-2.81,"du Plessis J, Pugh WJ, Judefeind A, Hadgraft J. Physico‐chemical determinants of dermal drug delivery: effects of the number and substitution pattern of polar groups. Eur J Pharm Sci. 2002;16:107‐112.",126.111,0.6225,-0.728,3,3,60.69,0,1,3,,,,,,,,,,Benzene,c1ccccc1
chloroxylenol,CC1=CC(=CC(=C1Cl)C)O,2723,AROM. MISC.,"4-chloro-3,5-dimethylphenol",88-04-0,88-04-0,-1.17,"Roberts MS, Anderson RA, Swarbrick J. Permeability of human epidermis to phenofic compounds. J.Pharm.Pharmac. 1977; 29: 677‐683",156.611,2.6077,-2.7439999999999998,1,1,20.23,0,1,3,approved,DB11121,,,,,,,,Benzene,c1ccccc1
"2,4,6‐trichlorophenol",C1=C(C=C(C(=C1Cl)O)Cl)Cl,6914,AROM. MISC.,"2,4,6-trichlorophenol",88-06-2,88-06-2,-1.06,"Roberts MS, Anderson RA, Swarbrick J. Permeability of human epidermis to phenofic compounds. J.Pharm.Pharmac. 1977; 29: 677‐683",197.44799999999998,3.1319,-3.528,1,1,20.23,0,1,1,,,,,,,,,,Benzene,c1ccccc1
o‐t‐butylphenol,CC(C)(C)C1=CC=CC=C1O,6923,AROM. MISC.,2-tert-butylphenol,88-18-6,"88-18-6,27178-34-3",-1.12,"Zhang Q, Grice JE, Li P, Jepps OG, Wang GJ, Roberts MS. Skin solubility determines maximum transepidermal flux for similar size molecules. Pharm Res. 2009;26(8):1974‐1985.",150.22,2.8958,-2.48,1,1,20.23,1,1,5,,,,,,,,,,Benzene,c1ccccc1
Salicylaldehyde,C1=CC=C(C(=C1)C=O)O,6998,AROM. MISC.,2-hydroxybenzaldehyde,90-02-8,"90-02-8,27761-48-4",,"Li, S. K., & Higuchi, W. I. (2015). Quantitative structure–enhancement relationship and the microenvironment of the enhancer site of action. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 55-67). Springer, Berlin, Heidelberg.",122.12299999999999,1.2472,-1.6440000000000001,2,1,37.3,1,1,1,,,,,,,,,,Benzene,c1ccccc1
o‐cresol,CC1=CC=CC=C1O,335,AROM. MISC.,2-methylphenol,95-48-7,95-48-7,-1.56,"Roberts MS, Anderson RA, Swarbrick J. Permeability of human epidermis to phenofic compounds. J.Pharm.Pharmac. 1977; 29: 677‐683",108.14,1.6578,-1.6640000000000001,1,1,20.23,0,1,2,,,,,,,,,,Benzene,c1ccccc1
o‐phenylenediamine,C1=CC=C(C(=C1)N)N,7243,AROM. MISC.,"benzene-1,2-diamine",95-54-5,95-54-5,-3.25,"Bronaugh, R.L. and Congdon, E.R. (1984): Percutaneous absorption of hair dyes: correlation with partition coefficients. J. Invest. Dermatol., 83, 124‐127",108.14399999999999,0.305,-1.768,2,2,52.04,0,1,0,,,,amine,,aromatic amine,,,,Benzene,c1ccccc1
2‐chlorophenol,C1=CC=C(C(=C1)O)Cl,7245,AROM. MISC.,2-chlorophenol,95-57-8,"25167-80-0,95-57-8",-1.24,"Roberts MS, Anderson RA, Swarbrick J. Permeability of human epidermis to phenofic compounds. J.Pharm.Pharmac. 1977; 29: 677‐683",128.558,1.9199,-2.056,1,1,20.23,0,1,1,experimental,DB03110,,,,,,,,Benzene,c1ccccc1
"3,4‐xylenol",CC1=C(C=C(C=C1)O)C,7249,AROM. MISC.,"3,4-dimethylphenol",95-65-8,95-65-8,-1.2,"Roberts MS, Anderson RA, Swarbrick J. Permeability of human epidermis to phenofic compounds. J.Pharm.Pharmac. 1977; 29: 677‐683",122.166,2.2017,-2.008,1,1,20.23,0,1,3,experimental,DB04052,,,,,,,,Benzene,c1ccccc1
4‐chloro‐m‐ phenylenediamine,C1=CC(=C(C=C1Cl)N)N,7263,AROM. MISC.,"4-chlorobenzene-1,2-diamine",95-83-0,95-83-0,-2.83,"Bronaugh, R.L. and Congdon, E.R. (1984): Percutaneous absorption of hair dyes: correlation with partition coefficients. J. Invest. Dermatol., 83, 124‐127",142.589,0.9109999999999999,-2.504,2,2,52.04,0,1,0,,,,amine,,aromatic amine,,,,Benzene,c1ccccc1
2‐amino‐4‐nitrophenol,C1=CC(=C(C=C1[N+](=O)[O-])N)O,3613389,AROM. MISC.,2-amino-4-nitrophenol,99-57-0,99-57-0,-3.08,"Bronaugh, R.L. and Congdon, E.R. (1984): Percutaneous absorption of hair dyes: correlation with partition coefficients. J. Invest. Dermatol., 83, 124‐127",154.125,-0.285,-1.8559999999999999,5,2,92.07,1,1,2,,,,amine,,aromatic amine,,,acidic oxygen,Benzene,c1ccccc1
1-(Azepan-1-yl)non-8-en-1-one (Azone_analog-69),C=CCCCCCCC(=O)N1CCCCCC1,19855841,AZEPANE,1-(azepan-1-yl)non-8-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",237.385,4.3914,-3.1439999999999997,2,0,20.31,7,0,12,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)dec-9-en-1-one (Azone_analog-70),C=CCCCCCCCC(=O)N1CCCCCC1,19855875,AZEPANE,1-(azepan-1-yl)dec-9-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",251.412,4.8458,-3.4139999999999997,2,0,20.31,8,0,13,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)undec-10-en-1-one (Azone_analog-71),C=CCCCCCCCCC(=O)N1CCCCCC1,14772396,AZEPANE,1-(azepan-1-yl)undec-10-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",265.439,5.3002,-3.6839999999999997,2,0,20.31,9,0,14,,,amide,,,,,,,Azepane,C1CCCNCC1
"1-(2,6-Dimethylazepan-1-yl)dodec-10-en-1-one (Azone_analog-77)",CC=CCCCCCCCCC(=O)N1CC(C)CCCC1C,53958437,AZEPANE,"1-(2,6-dimethylazepan-1-yl)dodec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",307.52,6.2819,-4.325,2,0,20.31,9,0,17,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)tetradec-13-en-1-one (Azone_analog-72),C=CCCCCCCCCCCCC(=O)N1CCCCCC1,19855877,AZEPANE,1-(azepan-1-yl)tetradec-13-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",307.52,6.6634,-4.494,2,0,20.31,12,0,17,,,amide,,,,,,,Azepane,C1CCCNCC1
"1-(2,6-Dimethylazepan-1-yl)tridec-11-en-1-one (Azone_analog-78)",CC=CCCCCCCCCCC(=O)N1CC(C)CCCC1C,53993548,AZEPANE,"1-(2,6-dimethylazepan-1-yl)tridec-11-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",321.547,6.7363,-4.595,2,0,20.31,10,0,18,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)pentadec-14-en-1-one (Azone_analog-73),C=CCCCCCCCCCCCCC(=O)N1CCCCCC1,19855842,AZEPANE,1-(azepan-1-yl)pentadec-14-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",321.547,7.1178,-4.763999999999999,2,0,20.31,13,0,18,,,amide,,,,,,,Azepane,C1CCCNCC1
"1-(2,6-Dimethylazepan-1-yl)tetradec-12-en-1-one (Azone_analog-79)",CC=CCCCCCCCCCCC(=O)N1CC(C)CCCC1C,54086713,AZEPANE,"1-(2,6-dimethylazepan-1-yl)tetradec-12-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",335.574,7.1907,-4.865,2,0,20.31,11,0,19,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)hexadec-15-en-1-one (Azone_analog-74),C=CCCCCCCCCCCCCCC(=O)N1CCCCCC1,19855829,AZEPANE,1-(azepan-1-yl)hexadec-15-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",335.574,7.5722,-5.034,2,0,20.31,14,0,19,,,amide,,,,,,,Azepane,C1CCCNCC1
"1-(2,6-Dimethylazepan-1-yl)hexadec-10-en-1-one (Azone_analog-80)",CCCCCC=CCCCCCCCCC(=O)N1CC(C)CCCC1C,54030725,AZEPANE,"1-(2,6-dimethylazepan-1-yl)hexadec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",363.62699999999995,8.0995,-5.405,2,0,20.31,13,0,21,,,amide,,,,,,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)octadec-17-en-1-one (Azone_analog-75),C=CCCCCCCCCCCCCCCCC(=O)N1CCCCCC1,19855826,AZEPANE,1-(azepan-1-yl)octadec-17-en-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",363.62699999999995,8.481,-5.574,2,0,20.31,16,0,21,,,amide,,,,,,,Azepane,C1CCCNCC1
"1-(2,6-Dimethylazepan-1-yl)octadec-10-en-1-one (Azone_analog-81)",CCCCCCCC=CCCCCCCCCC(=O)N1CC(C)CCCC1C,54409994,AZEPANE,"1-(2,6-dimethylazepan-1-yl)octadec-10-en-1-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",391.681,9.1983,-5.945,2,0,20.31,15,0,23,,,amide,,,,,,,Azepane,C1CCCNCC1
1-Decylhexahydro-1H-azepine (Azone_analog-59),CCCCCCCCCCN1CCCCCC1,10331834,AZEPANE,1-decylazepane,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",239.445,5.3809,-3.4930000000000003,1,0,3.24,9,0,17,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
1-Octadecylazepane (Azone_analog-64),CCCCCCCCCCCCCCCCCCN1CCCCCC1,19736098,AZEPANE,1-octadecylazepane,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",351.66,9.0161,-5.653,1,0,3.24,17,0,25,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
"1H-Azepine, 1-hexadecylhexahydro- (Azone_analog-63)",CCCCCCCCCCCCCCCCN1CCCCCC1,10403939,AZEPANE,1-hexadecylazepane,113458-98-3,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",323.606,8.1073,-5.113,1,0,3.24,15,0,23,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)octan-1-one (Azone_analog-65),CCCCCCCC(=O)N1CCCCCC1,246824,AZEPANE,1-(azepan-1-yl)octan-1-one,18494-58-1,18494-58-1,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",225.37400000000002,4.1225,-2.935,2,0,20.31,6,0,13,,,amide,,,,,,,Azepane,C1CCCNCC1
Hexamethylenelauramide (Azone_analog-66),CCCCCCCCCCCC(=O)N1CCCCCC1,96224,AZEPANE,1-(azepan-1-yl)dodecan-1-one,18494-60-5,18494-60-5,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",281.482,5.9401,-4.015,2,0,20.31,10,0,17,,,amide,,,,,,,Azepane,C1CCCNCC1
1-Dodecylazepane (Azone_analog-61),CCCCCCCCCCCCN1CCCCCC1,3366129,AZEPANE,1-dodecylazepane,20422-09-7,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",267.499,6.2897,-4.033,1,0,3.24,11,0,19,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
1-(Azepan-1-yl)hexadecan-1-one (Azone_analog-67),CCCCCCCCCCCCCCCC(=O)N1CCCCCC1,246834,AZEPANE,1-(azepan-1-yl)hexadecan-1-one,70974-50-4,70974-50-4,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",337.589,7.7577,-5.095,2,0,20.31,14,0,21,,,amide,,,,,,,Azepane,C1CCCNCC1
1-Undecylazepane (Azone_analog-60),CCCCCCCCCCCN1CCCCCC1,12760937,AZEPANE,1-undecylazepane,79089-51-3,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",253.472,5.8353,-3.763,1,0,3.24,10,0,18,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
"1H-Azepine, hexahydro-1-tetradecyl- (Azone_analog-62)",CCCCCCCCCCCCCCN1CCCCCC1,3276058,AZEPANE,1-tetradecylazepane,89632-36-0,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",295.553,7.1985,-4.573,1,0,3.24,13,0,21,,,,amine,alkyl-amine,,,basic nitrogen,,Azepane,C1CCCNCC1
1-Dodecylazepane-2-thione (Azone_analog-50),N1(C(=S)CCCCC1)CCCCCCCCCCCC,10108679,AZONE OTHER,1-dodecylazepane-2-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",297.54900000000004,5.9429,-4.952,1,0,35.33,11,0,18,,,,,,,,,,Thiocaprolactam,S=C1CCCCCN1
1-Butylpyrrolidine-2-thione (Azone_analog-230),CCCCN1CCCC1=S,19736097,AZONE OTHER,1-butylpyrrolidine-2-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",157.28,1.6237,-2.252,1,0,35.33,3,0,8,,,,,,,,,,ThioPyrrolidonee,S=C1CCCN1
1-Octylpyrrolidine-2-thione (Azone_analog-231),CCCCCCCCN1CCCC1=S,19736095,AZONE OTHER,1-octylpyrrolidine-2-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",213.388,3.4413,-3.332,1,0,35.33,7,0,12,,,,,,,,,,ThioPyrrolidonee,S=C1CCCN1
1-Dodecylpyrrolidine-2-thione (Azone_analog-232),CCCCCCCCCCCCN1CCCC1=S,19786390,AZONE OTHER,1-dodecylpyrrolidine-2-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",269.495,5.2589,-4.412,1,0,35.33,11,0,16,,,,,,,,,,ThioPyrrolidonee,S=C1CCCN1
1-Dodecylpiperidine-2-thione (Azone_analog-100),CCCCCCCCCCCCN1CCCCC1=S,19736096,AZONE OTHER,1-dodecylpiperidine-2-thione,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",283.522,5.6009,-4.6819999999999995,1,0,35.33,11,0,17,,,,,,,,,,ThioPyrrolidonee,S=C1CCCCN1
1-[7-(2-Oxopyrrolidin-1-yl)heptyl]pyrrolidin-2-one (Azone_analog-315),O=C1CCCN1CCCCCCCN1CCCC1=O,4398813,AZONE OTHER,1-[7-(2-oxopyrrolidin-1-yl)heptyl]pyrrolidin-2-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",266.383,2.2858,-1.916,4,0,40.62,8,0,13,,,amide,,,,,,,"1,1'-heptane-1,7-diyldipyrrolidin-2-one",O=C1CCCN1CCCCCCCN1CCCC1=O
"1-Dodecylpyrrolidine-2,4-dione (Azone_analog-271)",CCCCCCCCCCCCN1CC(=O)CC1=O,24876780,AZONE OTHER,"1-dodecylpyrrolidine-2,4-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",267.411,4.3311,-3.127,3,0,37.38,11,0,14,,,amide,,,,,,,"2,4-Pyrrolidinedione",O=C1CNC(=O)C1
"4-Dodecylmorpholine-3,5-dione (Azone_analog-136)",CCCCCCCCCCCCN1C(=O)COCC1=O,85853009,AZONE OTHER,"4-dodecylmorpholine-3,5-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",283.41,3.6513,-2.838,4,0,46.61,11,0,15,,,amide,,,,,,,Diglycolimide,O=C1COCC(=O)N1
"4-Tetradecylmorpholine-3,5-dione (Azone_analog-137)",CCCCCCCCCCCCCCN1C(=O)COCC1=O,85693241,AZONE OTHER,"4-tetradecylmorpholine-3,5-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",311.464,4.5601,-3.378,4,0,46.61,13,0,17,,,amide,,,,,,,Diglycolimide,O=C1COCC(=O)N1
4-Methoxy-1-methyl-3H-azepin-2-one (Azone_analog-87),COC1=CC=CN(C)C(=O)C1,19881566,AZONE OTHER,"4-methoxy-1-methyl-2,3-dihydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",153.18,0.1584,-1.07,3,0,29.54,1,0,4,,,amide,,,,,,,Dihydroazepinone,O=C1CC=CC=CN1
4-Acetyl-1-methyl-3H-azepin-2-one (Azone_analog-88),CN1C=CC=C(CC1=O)C(C)=O,19881561,AZONE OTHER,"4-acetyl-1-methyl-2,3-dihydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",165.19099999999997,0.0719,-1.057,3,0,37.38,1,0,3,,,amide,,,,,,,Dihydroazepinone,O=C1CC=CC=CN1
"N,N-Diethyl-1-methyl-2-oxo-3H-azepine-4-carboxamide (Azone_analog-89)",CCN(CC)C(=O)C1=CC=CN(C)C(=O)C1,19881558,AZONE OTHER,"N,N-diethyl-1-methyl-2-oxo-2,3-dihydro-1H-azepine-4-carboxamide",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",222.287,0.42700000000000005,-0.84,4,0,40.62,3,0,6,,,amide,,,,,,,Dihydroazepinone,O=C1CC=CC=CN1
1-Methyl-4-phenyl-3H-azepin-2-one (Azone_analog-86),CN1C=CC=C(CC1=O)C1=CC=CC=C1,19881572,AZONE OTHER,"1-methyl-4-phenyl-2,3-dihydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",199.252,1.4855,-1.9680000000000002,2,0,20.31,1,1,2,,,amide,,,,,,,,O=C1CC(c2ccccc2)=CC=CN1
"4-decyl-1,4-oxazepan-5,7-dione (Azone_analog-57)",O1CCN(C(=O)CC1=O)CCCCCCCCCC,85693237,AZONE OTHER,"4-decyl-1,4-oxazepane-5,7-dione",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",269.383,3.0845,-2.568,4,0,46.61,9,0,14,,,amide,,,,,,,,O=C1CC(=O)OCCN1
1-Dodecyl-2H-azepin-7-one (Azone_analog-55),N1(C(=O)C=CC=CC1)CCCCCCCCCCCC,19881564,AZONE OTHER,"1-dodecyl-2,7-dihydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",277.45,5.1727,-3.5589999999999997,2,0,20.31,11,0,13,,,amide,,,,,,,,O=C1C=CC=CCN1
1-Dodecylazacyclohept-3-ene-2-one (Azone_analog-51),N1(C(=O)C=CCCC1)CCCCCCCCCCCC,14182696,AZONE OTHER,"1-dodecyl-2,5,6,7-tetrahydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",279.466,5.4481,-3.787,2,0,20.31,11,0,15,,,amide,,,,,,,,O=C1C=CCCCN1
1-Dodecylazacyclohept-4-ene-2-one (Azone_analog-53),N1(C(=O)CC=CCC1)CCCCCCCCCCCC,14182697,AZONE OTHER,"1-dodecyl-2,3,6,7-tetrahydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",279.466,5.4481,-3.787,2,0,20.31,11,0,15,,,amide,,,,,,,,O=C1CC=CCCN1
1-[3-(2-Oxoazepan-1-yl)butyl]azepan-2-one (Azone_analog-326),CC(CCN1CCCCCC1=O)N1CCCCCC1=O,15389348,AZONE OTHER,1-[3-(2-oxoazepan-1-yl)butyl]azepan-2-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",280.41,2.1955,-2.294,4,0,40.62,4,0,14,,,amide,,,,,,,,O=C1CCCCCN1CCCN1CCCCCC1=O
1-[8-(2-Oxopyrrolidin-1-yl)octyl]pyrrolidin-2-one (Azone_analog-316),O=C1CCCN1CCCCCCCCN1CCCC1=O,85608703,AZONE OTHER,1-[8-(2-oxopyrrolidin-1-yl)octyl]pyrrolidin-2-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",280.41,2.7402,-2.186,4,0,40.62,9,0,14,,,amide,,,,,,,,O=C1CCCN1CCCCCCCCN1CCCC1=O
1-Thiomorpholino-1-dodecanone (Azone_analog-135),CCCCCCCCCCCC(=O)N1CCSCC1,11778705,AZONE OTHER,1-(thiomorpholin-4-yl)dodecan-1-one,-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",285.494,4.841,-3.542,2,0,45.61,10,0,16,,,amide,,,,,,,,C1CSCCN1
"1-Dodecanoyl-3,4-dihydro-2H-azepin-7-one (Azone_analog-82)",CCCCCCCCCCCC(=O)N1CCCC=CC1=O,19881559,AZONE OTHER,"1-dodecanoyl-2,5,6,7-tetrahydro-1H-azepin-2-one",-,NA,,"Jampílek, J. (2015). Azone® and Its Analogues as Penetration Enhancers. In Percutaneous Penetration Enhancers Chemical Methods in Penetration Enhancement (pp. 69-105). Springer, Berlin, Heidelberg.",293.449,5.0985,-3.7689999999999997,3,0,37.38,10,0,14,,,amide,,,,,,,,O=C1C=CCCCN1
